date,open,high,low,close,volume
2024-01-02,100.17,100.64,100.27,100.3,1275713
2024-01-03,100.19,100.51,100.05,100.22,1251279
2024-01-04,100.43,100.7,100.43,100.6,1389570
2024-01-05,101.35,101.81,101.04,101.52,1356551
2024-01-08,101.59,102.08,101.08,101.38,1173109
2024-01-09,101.44,101.32,100.81,101.24,924538
2024-01-10,102.1,102.2,102.05,102.18,1101664
2024-01-11,102.63,103.28,102.11,102.64,1391234
2024-01-12,102.61,102.85,102.08,102.36,1039182
2024-01-15,102.4,103.91,102.23,102.69,1372525
2024-01-16,102.48,102.51,102.23,102.41,1058338
2024-01-17,102.53,102.65,101.7,102.13,1084064
2024-01-18,102.67,102.67,101.48,102.28,1114020
2024-01-19,100.74,101.45,101.05,101.13,1019176
2024-01-22,99.94,100.67,99.83,100.09,1118126
2024-01-23,99.79,100.05,99.6,99.76,1118969
2024-01-24,98.88,99.43,98.37,99.15,1022409
2024-01-25,99.2,99.38,99.17,99.34,1447707
2024-01-26,98.76,99.5,98.71,98.79,1153618
2024-01-29,98.22,98.6,97.82,97.94,950015
2024-01-30,98.81,99.01,98.56,98.82,1022096
2024-01-31,98.73,99.14,98.63,98.69,1085340
2024-02-01,98.83,99.86,98.54,98.73,1010687
2024-02-02,97.98,98.16,97.53,97.87,1311357
2024-02-05,97.55,97.84,97.28,97.55,1005878
2024-02-06,97.37,97.97,97.06,97.61,1098286
2024-02-07,97.08,97.41,96.72,96.92,1064899
2024-02-08,97.24,97.34,96.91,97.15,1224767
2024-02-09,96.57,97.27,96.41,96.79,1279989
2024-02-12,96.48,96.9,95.64,96.61,1315515
2024-02-13,96.43,96.65,96.19,96.25,943585
2024-02-14,97.48,97.68,96.49,97.36,1271369
2024-02-15,97.21,97.59,97.3,97.36,964044
2024-02-16,96.67,96.88,96.35,96.72,1342296
2024-02-19,97.19,97.33,97.02,97.21,1009556
2024-02-20,96.61,96.54,96.43,96.48,1426981
2024-02-21,96.86,97.0,96.1,96.61,1100235
2024-02-22,95.44,95.65,94.95,95.43,925939
2024-02-23,94.87,95.26,94.48,94.63,1052906
2024-02-26,94.93,94.95,94.42,94.75,1442335
2024-02-27,95.24,95.69,95.02,95.2,1188249
2024-02-28,95.01,95.32,94.96,95.3,975766
2024-02-29,95.02,95.32,94.93,95.23,1308923
2024-03-01,95.2,95.12,94.52,95.05,1315192
2024-03-04,93.82,94.17,93.28,94.16,1468550
2024-03-05,93.75,93.78,93.31,93.73,1287261
2024-03-06,93.65,93.89,92.98,93.45,1354589
2024-03-07,94.12,94.92,93.74,94.09,1037848
2024-03-08,94.17,94.39,93.64,94.29,1027948
2024-03-11,93.07,93.44,92.78,93.24,1479304
2024-03-12,93.59,93.93,92.91,93.43,1302690
2024-03-13,93.29,93.33,92.36,93.2,1399046
2024-03-14,92.74,92.85,92.42,92.79,1351269
2024-03-15,93.37,93.61,92.94,93.16,921959
2024-03-18,93.95,94.03,93.34,93.78,1128576
2024-03-19,94.7,94.43,93.7,94.34,1437833
2024-03-20,93.95,94.15,93.38,93.83,1065838
2024-03-21,93.62,93.83,93.03,93.65,1235674
2024-03-22,93.82,94.71,93.75,93.85,961087
2024-03-25,94.05,94.53,94.39,94.43,1493128
